Id,MSSubClass,MSZoning,LotFrontage,LotArea,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,Fence,MoSold,YrSold,SaleType,SaleCondition,SalePrice
326,45,RM,50.0,5000,,Reg,Lvl,Inside,Gtl,IDOTRR,RRAe,1Fam,1.5Unf,5,6,1941,1950,Gable,MetalSd,MetalSd,,0.0,TA,TA,CBlock,TA,TA,Av,BLQ,Unf,604,720,Po,N,FuseF,803,0,803,0,0,1,0,2,1,TA,5,Typ,0,,Detchd,1941.0,Unf,2,360,TA,TA,Y,0,0,1,None,12,2007,WD,Normal,87000
327,120,RL,32.0,10846,,IR1,Lvl,CulDSac,Gtl,Veenker,Norm,TwnhsE,1Story,8,5,1993,1993,Gable,BrkFace,BrkFace,,0.0,Gd,TA,PConc,Gd,TA,Gd,GLQ,Unf,100,1719,Ex,Y,SBrkr,1719,0,1719,2,0,1,1,1,1,Gd,6,Typ,2,Gd,Attchd,1993.0,Fin,2,473,TA,TA,Y,122,30,0,None,5,2008,Other,Normal,324000
328,20,RL,80.0,11600,,Reg,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,6,5,1960,1960,Hip,Wd Sdng,Wd Sdng,BrkFace,175.0,TA,TA,CBlock,TA,TA,No,Rec,Unf,818,1383,TA,Y,SBrkr,1383,0,1383,0,0,1,1,3,1,TA,7,Typ,0,,Attchd,1960.0,RFn,1,292,TA,TA,Y,0,45,0,None,4,2006,WD,Normal,145250
329,75,RL,,11888,Pave,IR1,Bnk,Inside,Gtl,BrkSide,PosN,1Fam,2.5Unf,6,6,1916,1994,Gable,Wd Sdng,Wd Shng,,0.0,TA,TA,BrkTil,TA,TA,No,Unf,Unf,844,844,Gd,N,FuseA,1445,689,2134,0,0,2,0,5,1,Gd,10,Typ,0,,Detchd,1930.0,Unf,2,441,TA,TA,Y,0,60,1,None,7,2009,WD,Normal,214500
330,70,RM,60.0,6402,,Reg,Lvl,Corner,Gtl,IDOTRR,Norm,1Fam,2Story,5,5,1920,1950,Gable,Wd Sdng,Wd Shng,,0.0,TA,TA,PConc,TA,TA,Mn,Unf,Unf,596,596,TA,N,SBrkr,596,596,1192,0,0,1,0,3,1,TA,6,Typ,0,,Detchd,1920.0,Unf,1,189,Other,Other,N,0,0,1,GdWo,7,2009,WD,Normal,78000
331,90,RL,,10624,,IR1,Lvl,Inside,Gtl,NAmes,Norm,Duplex,1Story,5,4,1964,1964,Gable,HdBoard,HdBoard,BrkFace,84.0,TA,TA,CBlock,TA,TA,No,GLQ,Rec,1424,1728,TA,Y,SBrkr,1728,0,1728,0,1,2,0,6,0,TA,10,Typ,0,,Detchd,2002.0,Unf,1,352,TA,TA,Y,155,0,0,None,11,2007,WD,Normal,119000
332,20,RL,70.0,8176,,Reg,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,5,6,1958,1992,Gable,Wd Sdng,Wd Sdng,,0.0,TA,TA,CBlock,TA,TA,No,Rec,Unf,210,1056,Fa,Y,SBrkr,1056,0,1056,1,0,1,0,3,1,TA,6,Typ,0,,Attchd,1958.0,RFn,1,308,TA,TA,Y,0,0,0,None,8,2007,WD,Normal,139000
333,20,RL,85.0,10655,,IR1,Lvl,Inside,Gtl,NridgHt,Norm,1Fam,1Story,8,5,2003,2004,Gable,VinylSd,VinylSd,BrkFace,296.0,Gd,TA,PConc,Gd,TA,No,GLQ,,1603,3206,Ex,Y,SBrkr,1629,0,1629,1,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2003.0,RFn,3,880,TA,TA,Y,0,0,0,None,10,2009,WD,Normal,284000
334,120,RM,59.0,8198,,Reg,Lvl,FR3,Gtl,NridgHt,Norm,TwnhsE,1Story,7,5,2004,2004,Gable,VinylSd,VinylSd,Stone,146.0,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,638,1358,Ex,Y,SBrkr,1358,0,1358,1,0,2,0,2,1,Gd,6,Typ,1,Gd,Attchd,2004.0,RFn,2,484,TA,TA,Y,192,30,0,None,7,2008,WD,Normal,207000
335,60,RL,59.0,9042,,IR1,Lvl,Inside,Gtl,Gilbert,Norm,1Fam,2Story,6,5,1998,1998,Gable,VinylSd,VinylSd,,0.0,TA,TA,PConc,Gd,TA,Gd,GLQ,Unf,115,943,Gd,Y,SBrkr,943,695,1638,1,0,2,1,3,1,TA,7,Typ,2,TA,Attchd,1998.0,Fin,2,472,TA,TA,Y,100,38,0,None,7,2008,WD,Normal,192000
336,190,RL,,164660,,IR1,HLS,Corner,Sev,Timber,Norm,2fmCon,1.5Fin,5,6,1965,1965,Gable,Plywood,Plywood,,0.0,TA,TA,CBlock,TA,TA,Gd,ALQ,BLQ,103,1499,Ex,Y,SBrkr,1619,167,1786,2,0,2,0,3,1,TA,7,Typ,2,Gd,Attchd,1965.0,Fin,2,529,TA,TA,Y,670,0,0,None,8,2008,WD,Normal,228950
337,20,RL,86.0,14157,,IR1,HLS,Corner,Gtl,StoneBr,Norm,1Fam,1Story,9,5,2005,2006,Hip,VinylSd,VinylSd,Stone,200.0,Gd,TA,PConc,Ex,TA,Gd,GLQ,Unf,673,1922,Ex,Y,SBrkr,1922,0,1922,1,0,2,0,3,1,Gd,8,Typ,1,Gd,Attchd,2005.0,Fin,3,676,TA,TA,Y,178,51,0,None,7,2007,WD,Normal,377426
338,20,RL,70.0,9135,,Reg,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,1Story,7,5,2002,2003,Gable,VinylSd,VinylSd,BrkFace,113.0,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,726,1536,Ex,Y,SBrkr,1536,0,1536,1,0,2,0,3,1,Gd,7,Typ,0,,Attchd,2002.0,RFn,2,532,TA,TA,Y,192,74,0,None,12,2008,WD,Normal,214000
339,20,RL,91.0,14145,,Reg,Lvl,Corner,Gtl,NWAmes,Norm,1Fam,1Story,7,7,1984,1998,Gable,Wd Sdng,Wd Sdng,,0.0,Gd,TA,CBlock,Gd,TA,Mn,ALQ,Unf,995,1208,Ex,Y,SBrkr,1621,0,1621,1,0,2,0,3,1,Gd,8,Typ,0,,Attchd,1984.0,RFn,2,440,TA,TA,Y,108,45,0,None,5,2006,WD,Normal,202500
340,20,RL,66.0,12400,,IR1,Lvl,Inside,Gtl,NAmes,Feedr,1Fam,1Story,6,7,1958,1998,Hip,Wd Sdng,Wd Sdng,BrkFace,176.0,TA,TA,CBlock,TA,Fa,No,Rec,Unf,630,1215,TA,Y,FuseA,1215,0,1215,0,0,1,0,3,1,TA,6,Typ,0,,Attchd,1958.0,Unf,1,297,TA,TA,Y,0,0,0,None,6,2009,WD,Normal,155000
341,60,RL,85.0,14191,,Reg,Lvl,Inside,Gtl,Timber,Norm,1Fam,2Story,8,5,2002,2002,Gable,VinylSd,VinylSd,,0.0,Gd,TA,PConc,Gd,TA,No,Unf,Unf,967,967,Ex,Y,SBrkr,993,915,1908,0,0,2,1,4,1,Gd,9,Typ,0,,Attchd,2002.0,Fin,2,431,TA,TA,Y,135,0,0,None,4,2010,WD,Normal,202900
342,20,RH,60.0,8400,,Reg,Lvl,Inside,Gtl,SawyerW,Feedr,1Fam,1Story,4,4,1950,1950,Gable,Wd Sdng,AsbShng,,0.0,Fa,Fa,CBlock,TA,Fa,No,Unf,Unf,721,721,Gd,Y,SBrkr,841,0,841,0,0,1,0,2,1,TA,4,Typ,0,,CarPort,1950.0,Unf,1,294,TA,TA,N,250,0,1,None,9,2009,WD,Normal,82000
343,90,RL,,8544,,Reg,Lvl,Inside,Gtl,NAmes,Norm,Duplex,1Story,3,4,1949,1950,Gable,Stucco,Stucco,BrkFace,340.0,TA,TA,Slab,,,,,,0,0,Fa,N,FuseA,1040,0,1040,0,0,2,0,2,0,TA,6,Typ,0,,Detchd,1949.0,Unf,2,400,TA,TA,Y,0,0,0,None,5,2006,WD,Normal,87500
344,120,RL,63.0,8849,,IR1,Lvl,Inside,Gtl,NridgHt,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,MetalSd,MetalSd,BrkFace,616.0,Ex,TA,PConc,Ex,TA,No,GLQ,Unf,1656,1684,Ex,Y,SBrkr,1684,0,1684,0,0,2,0,2,1,Ex,6,Typ,1,Ex,Attchd,2005.0,RFn,2,564,TA,TA,Y,495,72,0,None,7,2008,WD,Normal,266000
345,160,RM,36.0,2592,,Reg,Lvl,Inside,Gtl,MeadowV,Norm,TwnhsE,2Story,5,3,1976,1976,Gable,CemntBd,CmentBd,,0.0,TA,TA,CBlock,Gd,TA,No,Rec,BLQ,175,536,TA,Y,SBrkr,536,576,1112,0,0,1,1,3,1,TA,4,Typ,0,,Attchd,1976.0,Unf,1,336,TA,TA,Y,182,0,0,None,4,2010,WD,Normal,85000
346,50,RL,65.0,6435,,Reg,Lvl,Inside,Gtl,BrkSide,RRAn,1Fam,1.5Fin,6,5,1939,1950,Gable,MetalSd,MetalSd,,0.0,TA,TA,BrkTil,TA,TA,No,Unf,Unf,972,972,Gd,Y,SBrkr,972,605,1577,0,0,1,0,3,1,Fa,6,Typ,1,Gd,Detchd,1939.0,Unf,1,312,TA,TA,Y,0,0,0,None,10,2006,WD,Normal,140200
347,20,RL,,12772,,IR1,Lvl,CulDSac,Gtl,NAmes,Norm,1Fam,1Story,6,8,1960,1998,Hip,MetalSd,MetalSd,,0.0,TA,Gd,CBlock,TA,TA,Mn,BLQ,Unf,460,958,TA,Y,SBrkr,958,0,958,0,0,1,0,2,1,TA,5,Typ,0,,Attchd,1960.0,RFn,1,301,TA,TA,Y,0,0,0,None,4,2007,WD,Normal,151500
348,20,RL,,17600,,IR1,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,6,5,1960,1960,Gable,Wd Sdng,Wd Sdng,BrkFace,30.0,TA,TA,CBlock,TA,TA,No,BLQ,Unf,208,1478,Ex,Y,FuseA,1478,0,1478,1,0,2,0,3,1,TA,6,Typ,2,Gd,Attchd,1960.0,Unf,2,498,TA,TA,Y,0,40,0,None,12,2009,WD,Normal,157500
349,160,RL,36.0,2448,,Reg,Lvl,Inside,Gtl,NridgHt,Norm,Twnhs,2Story,7,5,2003,2004,Gable,VinylSd,Wd Shng,Stone,106.0,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,191,764,Ex,Y,SBrkr,764,862,1626,1,0,2,1,2,1,Gd,6,Typ,0,,BuiltIn,2003.0,RFn,2,474,TA,TA,Y,0,27,0,None,10,2008,WD,Normal,154000
350,60,RL,56.0,20431,,IR2,Lvl,Inside,Gtl,NridgHt,Norm,1Fam,2Story,9,5,2005,2006,Hip,CemntBd,CmentBd,BrkFace,870.0,Ex,TA,PConc,Ex,TA,No,GLQ,Unf,438,1848,Ex,Y,SBrkr,1848,880,2728,1,0,2,1,4,1,Ex,10,Typ,2,Ex,Attchd,2006.0,Fin,3,706,TA,TA,Y,0,0,0,None,4,2006,New,Partial,437154
351,120,RL,68.0,7820,,IR1,Lvl,Inside,Gtl,NridgHt,Norm,TwnhsE,1Story,9,5,2007,2007,Hip,MetalSd,MetalSd,BrkFace,362.0,Ex,TA,PConc,Ex,TA,No,Unf,Unf,1869,1869,Ex,Y,SBrkr,1869,0,1869,0,0,2,0,2,1,Ex,6,Typ,1,Gd,Attchd,2007.0,RFn,2,617,TA,TA,Y,210,54,0,None,12,2007,New,Partial,318061
352,120,RL,,5271,,IR1,Low,Inside,Mod,ClearCr,Norm,1Fam,1Story,7,5,1986,1986,Gable,Wd Sdng,Wd Sdng,,0.0,TA,TA,PConc,Gd,TA,Gd,GLQ,Unf,371,1453,Gd,Y,SBrkr,1453,0,1453,1,0,1,1,2,1,Gd,6,Typ,1,TA,Attchd,1986.0,RFn,2,445,TA,TA,Y,0,80,0,None,12,2006,WD,Other,190000
353,50,RL,60.0,9084,,Reg,Lvl,Inside,Gtl,Edwards,Artery,1Fam,1.5Fin,5,6,1941,1950,Gable,VinylSd,VinylSd,,0.0,TA,TA,CBlock,TA,Fa,Mn,LwQ,Rec,0,616,TA,N,SBrkr,616,495,1111,0,1,1,0,3,1,TA,5,Typ,0,,Detchd,1941.0,Unf,1,200,TA,Other,Y,48,0,0,None,3,2008,Other,Normal,95000
354,30,RM,60.0,8520,,Reg,Lvl,Inside,Gtl,OldTown,Norm,1Fam,1Story,6,8,1928,2003,Gable,VinylSd,VinylSd,,0.0,TA,Gd,BrkTil,TA,TA,No,Unf,Unf,624,624,Gd,Y,SBrkr,720,0,720,0,0,1,0,2,1,TA,5,Typ,0,,Detchd,2005.0,Unf,2,484,TA,TA,Y,106,0,0,None,5,2010,WD,Normal,105900
355,50,RL,60.0,8400,,Reg,Bnk,Inside,Gtl,SWISU,Norm,1Fam,1.5Fin,6,5,1940,2000,Gable,Wd Sdng,MetalSd,,0.0,TA,TA,CBlock,TA,TA,No,LwQ,Unf,552,940,Ex,Y,SBrkr,1192,403,1595,0,0,1,0,2,1,TA,6,Typ,2,Gd,Attchd,1940.0,Unf,1,240,TA,TA,Y,0,0,1,None,6,2006,WD,Normal,140000
356,20,RL,105.0,11249,,IR2,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,1Story,6,5,1995,1995,Gable,VinylSd,VinylSd,,0.0,Gd,Gd,PConc,Gd,Gd,No,ALQ,BLQ,322,1200,Ex,Y,SBrkr,1200,0,1200,1,0,2,0,3,1,Gd,6,Typ,0,,Attchd,1995.0,RFn,2,521,TA,TA,Y,0,26,0,None,8,2007,WD,Normal,177500
357,20,RL,,9248,,IR1,Lvl,Inside,Gtl,Gilbert,Norm,1Fam,1Story,6,6,1992,1992,Gable,HdBoard,HdBoard,BrkFace,106.0,TA,TA,PConc,Gd,TA,No,GLQ,Unf,598,1158,Gd,Y,SBrkr,1167,0,1167,1,0,2,0,3,1,Gd,6,Typ,0,,Attchd,1992.0,RFn,2,400,TA,TA,Y,120,26,0,None,7,2009,WD,Normal,173000
358,120,RM,44.0,4224,,Reg,Lvl,Inside,Gtl,MeadowV,Norm,TwnhsE,1Story,5,5,1976,1976,Gable,CemntBd,CmentBd,,0.0,TA,TA,PConc,Gd,TA,No,ALQ,Unf,268,1142,TA,Y,SBrkr,1142,0,1142,1,0,1,1,3,1,TA,6,Typ,1,Po,Attchd,1976.0,Fin,2,528,TA,TA,Y,536,90,0,MnPrv,8,2007,WD,Normal,134000
359,80,RL,92.0,6930,,IR1,Lvl,Inside,Gtl,ClearCr,Norm,1Fam,SLvl,5,4,1958,1958,Hip,Wd Sdng,ImStucc,BrkFace,120.0,TA,TA,CBlock,TA,TA,Av,BLQ,Rec,468,1062,Ex,Y,FuseF,1352,0,1352,0,1,1,0,3,1,Gd,6,Min2,0,,BuiltIn,1958.0,Unf,1,288,TA,TA,Y,168,0,1,None,7,2006,WD,Other,130000
360,60,RL,78.0,12011,,IR1,Lvl,CulDSac,Gtl,NoRidge,Norm,1Fam,2Story,8,5,1998,1998,Gable,VinylSd,VinylSd,BrkFace,530.0,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,130,1086,Ex,Y,SBrkr,1086,838,1924,1,0,2,1,3,1,Gd,7,Typ,1,TA,Attchd,1998.0,RFn,2,592,TA,TA,Y,208,75,0,None,6,2006,WD,Normal,280000
361,85,RL,,7540,,IR1,Lvl,CulDSac,Gtl,Mitchel,Norm,1Fam,SFoyer,6,6,1978,1978,Gable,VinylSd,VinylSd,,0.0,TA,TA,CBlock,Gd,TA,Av,GLQ,Unf,115,888,Ex,Y,SBrkr,912,0,912,1,0,1,0,2,1,TA,5,Typ,1,TA,Attchd,1978.0,RFn,2,470,TA,TA,Y,0,0,0,MnPrv,6,2007,WD,Normal,156000
362,50,RL,,9144,Pave,Reg,Lvl,Inside,Gtl,BrkSide,Norm,1Fam,1.5Fin,5,5,1940,1982,Gable,MetalSd,MetalSd,,0.0,TA,TA,CBlock,TA,TA,No,Rec,Unf,484,883,Gd,Y,SBrkr,988,517,1505,1,0,1,0,3,1,TA,8,Typ,0,,Detchd,1940.0,Unf,1,240,TA,TA,N,0,0,0,None,7,2008,WD,Normal,145000
363,85,RL,64.0,7301,,Reg,Lvl,Corner,Gtl,Edwards,Norm,1Fam,SFoyer,7,5,2003,2003,Gable,HdBoard,HdBoard,BrkFace,500.0,Gd,TA,Slab,,,,,,0,0,Ex,Y,SBrkr,495,1427,1922,0,0,3,0,4,1,Gd,7,Typ,1,Ex,BuiltIn,2003.0,RFn,2,672,TA,TA,Y,0,0,1,None,7,2009,Other,Normal,198500
364,160,RM,21.0,1680,,Reg,Lvl,Inside,Gtl,BrDale,Norm,Twnhs,2Story,6,8,1972,2007,Gable,HdBoard,HdBoard,BrkFace,510.0,TA,TA,CBlock,TA,TA,No,ALQ,Unf,321,483,Gd,Y,SBrkr,483,504,987,0,0,1,1,2,1,Gd,5,Typ,0,,Detchd,1972.0,Unf,1,264,TA,TA,Y,250,0,0,None,5,2009,WD,Normal,118000
365,60,RL,,18800,,IR1,Lvl,FR2,Gtl,NWAmes,Norm,1Fam,2Story,6,5,1976,1976,Gable,HdBoard,HdBoard,BrkFace,120.0,TA,TA,PConc,Gd,TA,Mn,GLQ,Unf,84,796,TA,Y,SBrkr,790,784,1574,1,0,2,1,3,1,TA,6,Typ,1,TA,Attchd,1976.0,Fin,2,566,TA,TA,Y,306,111,0,None,7,2006,WD,Normal,190000
366,70,RM,59.0,10690,,Reg,Lvl,Inside,Gtl,IDOTRR,Norm,1Fam,2Story,5,7,1920,1997,Hip,VinylSd,VinylSd,,0.0,TA,Gd,CBlock,TA,Fa,No,Rec,Unf,216,672,Gd,Y,FuseA,672,672,1344,0,0,1,0,3,1,TA,6,Typ,0,,Detchd,1964.0,Unf,1,468,TA,Other,Y,0,128,1,None,7,2009,WD,Normal,147000
367,20,RL,,9500,,IR1,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,6,5,1963,1963,Gable,Plywood,Plywood,BrkFace,247.0,TA,TA,CBlock,Gd,TA,No,BLQ,Unf,785,1394,Gd,Y,SBrkr,1394,0,1394,1,0,1,1,3,1,TA,6,Typ,2,Gd,Attchd,1963.0,RFn,2,514,TA,TA,Y,0,76,0,None,7,2009,WD,Normal,159000
368,80,RL,101.0,9150,,IR1,Lvl,Corner,Gtl,NAmes,Norm,1Fam,SLvl,6,5,1962,1962,Gable,Plywood,Plywood,BrkFace,305.0,TA,TA,CBlock,Gd,TA,Gd,GLQ,Unf,728,1099,Gd,Y,SBrkr,1431,0,1431,0,1,1,0,3,1,TA,6,Typ,1,Gd,Basment,1962.0,RFn,1,296,TA,TA,Y,64,110,0,None,12,2008,WD,Normal,165000
369,20,RL,78.0,7800,,Reg,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,5,6,1954,1954,Gable,HdBoard,HdBoard,BrkFace,200.0,TA,TA,PConc,TA,TA,No,LwQ,Unf,728,1268,Gd,Y,SBrkr,1268,0,1268,0,0,1,0,2,1,TA,7,Typ,1,Gd,Attchd,1954.0,Fin,1,244,TA,TA,Y,0,98,0,None,3,2010,WD,Normal,132000
370,20,RL,,9830,,IR1,Lvl,Corner,Gtl,NAmes,Norm,1Fam,1Story,5,7,1959,2006,Gable,Wd Sdng,Wd Sdng,,0.0,TA,Gd,CBlock,TA,TA,No,ALQ,Rec,733,1063,Ex,Y,SBrkr,1287,0,1287,1,0,1,0,3,1,Gd,7,Typ,1,Gd,Detchd,1997.0,Fin,2,576,TA,TA,Y,364,17,0,None,3,2010,WD,Normal,162000
371,60,RL,,8121,,IR1,Lvl,Inside,Gtl,Gilbert,Norm,1Fam,2Story,6,5,2000,2000,Gable,VinylSd,VinylSd,,0.0,TA,TA,PConc,Gd,TA,No,Unf,Unf,953,953,Ex,Y,SBrkr,953,711,1664,0,0,2,1,3,1,TA,7,Typ,1,TA,Attchd,2000.0,RFn,2,460,TA,TA,Y,100,40,0,None,1,2006,WD,Normal,172400
372,50,RL,80.0,17120,,Reg,Lvl,Inside,Gtl,ClearCr,Feedr,1Fam,1.5Fin,4,4,1959,1959,Gable,WdShing,Plywood,,0.0,TA,TA,CBlock,,,,,,0,0,TA,Y,SBrkr,1120,468,1588,0,0,2,0,4,1,TA,7,Min2,1,Gd,Detchd,1991.0,Fin,2,680,TA,TA,N,0,59,0,None,7,2008,WD,Normal,134432
373,120,RL,50.0,7175,,Reg,Lvl,Inside,Gtl,SawyerW,Norm,TwnhsE,1Story,6,5,1984,1984,Gable,Plywood,Plywood,,0.0,TA,TA,CBlock,Gd,TA,No,ALQ,LwQ,0,744,TA,Y,SBrkr,752,0,752,1,0,1,0,2,1,TA,4,Typ,0,,Attchd,1984.0,Unf,1,264,TA,TA,Y,353,0,0,MnPrv,2,2010,WD,Normal,125000
374,20,RL,79.0,10634,,Reg,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,5,6,1953,1953,Gable,MetalSd,MetalSd,,0.0,TA,TA,PConc,TA,TA,No,BLQ,LwQ,0,608,TA,Y,SBrkr,1319,0,1319,1,0,1,0,3,1,TA,5,Min2,0,,Attchd,1953.0,Unf,1,270,TA,TA,Y,66,0,0,GdWo,11,2009,WD,Normal,123000
375,60,RL,65.0,8200,,Reg,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,2Story,7,5,2003,2004,Gable,VinylSd,VinylSd,,0.0,Gd,TA,PConc,Gd,TA,No,Unf,Unf,847,847,Ex,Y,SBrkr,847,1081,1928,0,0,2,1,4,1,Gd,8,Typ,1,Gd,BuiltIn,2003.0,Fin,2,434,TA,TA,Y,100,48,0,None,7,2007,WD,Normal,219500
376,30,RL,,10020,,IR1,Low,Inside,Sev,Edwards,Norm,1Fam,1Story,1,1,1922,1950,Gable,Wd Sdng,Wd Sdng,,0.0,Fa,Fa,BrkTil,Fa,Po,Gd,BLQ,Unf,333,683,Gd,N,FuseA,904,0,904,1,0,0,1,1,1,Fa,4,Maj1,0,,,,,0,0,Other,Other,Y,0,0,0,None,3,2009,WD,Normal,61000
377,85,RL,57.0,8846,,IR1,Lvl,CulDSac,Gtl,CollgCr,Norm,1Fam,SFoyer,5,5,1996,1996,Gable,VinylSd,VinylSd,,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,572,870,Ex,Y,SBrkr,914,0,914,0,0,1,0,2,1,TA,5,Typ,0,,Detchd,1998.0,Unf,2,576,TA,TA,Y,0,0,0,None,7,2006,WD,Normal,148000
378,60,FV,102.0,11143,,IR1,Lvl,Corner,Gtl,Somerst,Norm,1Fam,2Story,8,5,2004,2005,Gable,CemntBd,CmentBd,,0.0,Gd,TA,PConc,Gd,TA,No,Unf,Unf,1580,1580,Ex,Y,SBrkr,1580,886,2466,0,0,3,0,4,1,Gd,8,Typ,1,Gd,Attchd,2004.0,RFn,2,610,TA,TA,Y,159,214,0,None,12,2007,WD,Normal,340000
379,20,RL,88.0,11394,,Reg,Lvl,Corner,Gtl,StoneBr,Norm,1Fam,1Story,9,2,2010,2010,Hip,VinylSd,VinylSd,Stone,350.0,Gd,TA,PConc,Ex,TA,Av,GLQ,Unf,411,1856,Ex,Y,SBrkr,1856,0,1856,1,0,1,1,1,1,Ex,8,Typ,1,Ex,Attchd,2010.0,Fin,3,834,TA,TA,Y,113,0,0,None,6,2010,New,Partial,394432
380,60,RL,60.0,8123,,IR1,Lvl,Inside,Gtl,Gilbert,RRAn,1Fam,2Story,6,5,2000,2000,Gable,VinylSd,VinylSd,BrkFace,16.0,TA,TA,PConc,Gd,TA,No,Unf,Unf,982,982,Ex,Y,SBrkr,1007,793,1800,0,0,2,1,3,1,TA,7,Typ,1,TA,Attchd,2000.0,Fin,2,463,TA,TA,Y,100,63,0,None,6,2009,WD,Normal,179000
381,50,RL,50.0,5000,Pave,Reg,Lvl,Inside,Gtl,SWISU,Norm,1Fam,1.5Fin,5,6,1924,1950,Gable,BrkFace,Wd Sdng,,0.0,TA,TA,BrkTil,TA,TA,No,LwQ,Unf,808,1026,TA,Y,SBrkr,1026,665,1691,0,0,2,0,3,1,Gd,6,Typ,1,Gd,Detchd,1924.0,Unf,1,308,TA,TA,Y,0,0,1,None,5,2010,WD,Normal,127000
382,20,FV,60.0,7200,Pave,Reg,Lvl,Inside,Gtl,Somerst,Norm,1Fam,1Story,7,5,2006,2006,Gable,VinylSd,VinylSd,,0.0,Gd,TA,PConc,Gd,Gd,No,Unf,Unf,1293,1293,Ex,Y,SBrkr,1301,0,1301,1,0,2,0,2,1,Gd,5,Typ,1,Gd,Attchd,2006.0,RFn,2,572,TA,TA,Y,216,121,0,None,8,2006,New,Partial,187750
383,60,RL,79.0,9245,,IR1,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,2Story,7,5,2006,2006,Gable,VinylSd,VinylSd,,0.0,Gd,TA,PConc,Gd,TA,Av,Unf,Unf,939,939,Ex,Y,SBrkr,939,858,1797,0,0,2,1,3,1,Gd,8,Typ,0,,Attchd,2006.0,RFn,2,639,TA,TA,Y,144,53,0,None,4,2007,WD,Normal,213500
384,45,RH,60.0,9000,,Reg,Lvl,Corner,Gtl,SawyerW,Norm,1Fam,1.5Unf,6,3,1928,1950,Gable,Wd Sdng,Wd Sdng,,0.0,TA,TA,BrkTil,Fa,Fa,No,Unf,Unf,784,784,TA,N,FuseA,784,0,784,0,0,1,0,2,1,TA,5,Typ,0,,Detchd,1950.0,Unf,2,360,Other,Other,N,0,0,1,None,10,2009,WD,Normal,76000
385,60,RL,,53107,,IR2,Low,Corner,Mod,ClearCr,Feedr,1Fam,2Story,6,5,1992,1992,Gable,HdBoard,HdBoard,,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,595,1580,Ex,Y,SBrkr,1079,874,1953,1,0,2,1,3,1,Gd,9,Typ,2,Fa,Attchd,1992.0,Fin,2,501,TA,TA,Y,216,231,0,None,6,2007,WD,Normal,240000
386,120,RL,43.0,3182,,Reg,Lvl,Inside,Gtl,Blmngtn,Norm,TwnhsE,1Story,8,5,2004,2005,Gable,VinylSd,VinylSd,BrkFace,16.0,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,1232,1256,Ex,Y,SBrkr,1269,0,1269,0,0,2,0,2,1,Gd,6,Typ,1,TA,Attchd,2004.0,Fin,2,430,TA,TA,Y,146,20,0,None,4,2010,WD,Normal,192000
387,50,RL,58.0,8410,,Reg,Lvl,FR2,Gtl,Edwards,Feedr,1Fam,1.5Fin,5,3,1910,1996,Gambrel,Wd Sdng,VinylSd,,0.0,TA,Fa,PConc,TA,TA,No,Unf,Unf,658,658,TA,Y,SBrkr,658,526,1184,0,0,1,0,5,1,TA,8,Typ,0,,,,,0,0,Other,Other,N,0,151,0,None,5,2006,WD,Other,81000
388,80,RL,72.0,7200,,Reg,Lvl,Inside,Gtl,Edwards,Norm,1Fam,SLvl,6,6,1976,1976,Hip,MetalSd,MetalSd,BrkFace,255.0,TA,TA,CBlock,TA,TA,Av,ALQ,Unf,410,1041,Ex,Y,SBrkr,1125,0,1125,1,0,1,0,3,1,TA,6,Typ,1,Fa,Detchd,1977.0,Unf,1,352,TA,TA,Y,296,0,0,GdWo,10,2009,WD,Other,125000
